ID,Structure Domain,Hierarchy Path,Org Level,Org Code,Organization / Unit,Name / Public Node,Exact Public Role,Status Class,Status As Of,AA Relationship,Specific Application Arsenal Relevance,Authority / Engagement Posture,Public Email,Public Phone,Confidence,Primary Source URL,Secondary Source URL,Source Date,Validation / Caveat
56,NIWC PAC deep-code map,Code 55 > 553 > Wireless Communications,Branch,55310,Wireless Communications Branch,Public gap — branch head not identified,Branch Head,Public gap,2026,Communications adjacency,Wireless transport is a potential constrained-distribution dependency for tactical-edge software delivery.,No person or AA authority inferred.,,,A / High for unit,https://sam.gov/workspace/contract/opp/f490ecc547b84209b15172a68af685e6/view,,2025–2026,Status detail: Current function / incumbent unresolved.
57,NIWC PAC deep-code map,Code 55 > 553 > Enterprise Network Solutions,Branch,55321,Enterprise Network Solutions,Public gap — branch lead not identified,Branch lead,Public gap,2026,Enterprise network adjacency,Enterprise network solution architecture; indirect interface to OSA/AA.,No person or AA authority inferred.,,,A / High for unit,https://sam.gov/workspace/contract/opp/f6faec7233fa475dba6ee9f89499ddf0/view,,2025–2026,Status detail: Current function / incumbent unresolved.
58,NIWC PAC deep-code map,Code 55 > 553 > Enterprise Technology Solutions,Branch,55322,Enterprise Technology Solutions,Public gap — branch lead not identified,Branch lead,Public gap,2026,Enterprise technology adjacency,Enterprise technology implementation; indirect interface to OSA/AA.,No person or AA authority inferred.,,,A / High for unit,https://sam.gov/workspace/contract/opp/f6faec7233fa475dba6ee9f89499ddf0/view,,2025–2026,Status detail: Current function / incumbent unresolved.
59,NIWC PAC deep-code map,Code 55 > 553 > Enterprise Network Services,Branch,55323,Enterprise Network Services,Public gap — branch lead not identified,Branch lead,Public gap,2026,Enterprise network adjacency,Enterprise network service operations; indirect interface to OSA/AA.,No person or AA authority inferred.,,,A / High for unit,https://sam.gov/workspace/contract/opp/f6faec7233fa475dba6ee9f89499ddf0/view,,2025–2026,Status detail: Current function / incumbent unresolved.
60,NIWC PAC deep-code map,Code 55 > 553 > Mobile Systems Engineering & Solutions,Branch,55340,Mobile Systems Engineering & Solutions,Michael A. August,Publicly identified Code 55340 engineer; not verified as branch head,Dated / revalidate,2021–2022,Communications adjacency,Mobile systems engineering context; no direct AA role.,Do not elevate to branch head without new evidence.,,,B / Medium,https://lists.spdx.org/g/Spdx-legal/messages?expanded=1&msgnum=3088,,2021–2022,Status detail: Dated role.
61,NIWC PAC deep-code map,Code 55 > 553 > Advanced Photonic Technologies,Branch,55360,Advanced Photonic Technologies Branch,Sarah Lauff,Historical Branch Head,Historical,2017-12,None / remote adjacency,Deep-code validation; no material AA role.,Historical only.,,,A / High historical,https://www.academia.edu/98691186/Implementation_and_Testing_of_the_JANUS_Standard_with_SSC_Pacifics_Software_Defined_Acoustic_Modem,,2017-12,
62,NIWC PAC deep-code map,"NIWC Pacific > Intelligence, Surveillance & Reconnaissance",Department,56 / 56000,ISR Department,Nicole Stone,"Intelligence, Surveillance and Reconnaissance Department Head",Dated / revalidate,Since 2023-11,Adjacent mission/data interface,"ISR data, applications, and mission systems can be producers/consumers of AA-delivered software.",Department leadership; not an RFP channel.,,,B / Medium,https://www.linkedin.com/in/nicole-stone-a4155121a,https://www.dvidshub.net/news/printable/457727,Current profile / 2023 corroboration,Status detail: Current-likely; self-reported.
63,NIWC PAC deep-code map,Code 56 > ISR Science & Technology,Department S&T leadership,56,ISR Department,"Katie Rainey, PhD","Director of Science and Technology, ISR Department",Current,2026-02-10,Adjacent data/AI interface,"AI/ML and data-science leadership may influence future application workloads and assurance, but no direct AA ownership is public.",Technical influencer; not an RFP channel.,,,A / High,https://www.westconference.org/WEST26/Public/sessions.aspx?ID=116691&View=Sessions,https://www.afcea.org/signal-media/naval-applications-machine-learning-workshop-advances-ai-adoption,2026-02-10,
64,NIWC PAC deep-code map,Code 56 > division 561 unresolved > IO Support to National Security,Historical branch,56120,IO Support to National Security Branch,Public gap — historical branch lead not identified,Branch lead,Historical,Public-release technical report,Mission software / low adjacency,"Historical ISR software/embedded-computing branch; included for deepest-code completeness, not as a current AA node.",Historical structure only.,,,A for historical code; currentness unresolved,https://scispace.com/pdf/convolutional-neural-network-on-embedded-linux-trademark-30632opybn.pdf,,Historical public-release report,Status detail: Historical structure / currentness unresolved.
65,NIWC PAC deep-code map,Code 56 > division 561 unresolved > Mission Systems Engineering,Historical branch,56170,Mission Systems Engineering Branch,Public gap — historical branch lead not identified,Branch lead,Historical,2017-12,Mission software / low adjacency,Historical mission-systems engineering structure; no direct AA ownership.,Historical structure only.,,,A / High historical,https://www.academia.edu/98691186/Implementation_and_Testing_of_the_JANUS_Standard_with_SSC_Pacifics_Software_Defined_Acoustic_Modem,,2017-12,Status detail: Historical structure / currentness unresolved.
66,NIWC PAC deep-code map,Code 56 > ISR Division,Historical division,56200,ISR Division,C. A. Wilgenbusch,Historical ISR Division Head,Historical,2014-12,ISR/data adjacency,Historical parent division for several deep ISR branches; no direct AA authority.,Historical only.,,,A / High historical,https://www.studocu.vn/vn/document/royal-melbourne-institute-of-technology-vietnam/engineering-science/ly-thuyet-ma-cuc-2-ly-thuyet-ma-cuc/110340291,,2014-12,
67,NIWC PAC deep-code map,Code 56 > 56200 > Advanced Analysis Systems,Historical branch,56220,Advanced Analysis Systems Branch,Heidi L. Buck,AIA/BEMR technical lead; not confirmed as branch head,Historical,2016-10,Analytics / adjacent,Historical advanced-analysis capability; no direct AA ownership.,Do not elevate to branch head or current authority.,,,B / Medium historical,https://evonexus.org/virtual-reality-beyond-the-hype/,,2016-10,Status detail: Historical / dated.
68,NIWC PAC deep-code map,Code 56 > 56200 > Intelligence Collection Tools,Historical branch,56250,Intelligence Collection Tools Branch,Public gap — historical branch lead not identified,Branch lead,Historical,Dated procurement lineage,C2/ISR software adjacency,"Historical software-development branch tied to C2RPC, CTM, PMW 150, and CANES environments; no current AA ownership.",Historical structure only.,,,B / Medium historical,https://www.moesol.com/copy-of-phoenix-1,,Dated procurement synopsis,Status detail: Historical structure / currentness unresolved.
69,NIWC PAC deep-code map,Code 56 > 56200 > Space Systems,Historical branch,56270,Space Systems Branch,Austin M. Mroczek,Historical Space Systems Branch Head,Historical,2014,Space/ISR adjacency,Deep-code lineage only; the current RPED role is represented separately and must not be mapped to 56270.,Historical only.,,,A / High historical,https://www.studocu.vn/vn/document/royal-melbourne-institute-of-technology-vietnam/engineering-science/ly-thuyet-ma-cuc-2-ly-thuyet-ma-cuc/110340291,,2014,
70,NIWC PAC innovation interface,"NIWC Pacific > Rapid Prototyping, Experimentation & Demonstration",Center innovation lead,Code not public in 2026 source,"Rapid Prototyping, Experimentation & Demonstration",Austin M. Mroczek,NIWC Pacific RPED Lead,Current,2026-05-07,Innovation / adjacent,Rapid prototyping and experimentation may feed technologies toward production pathways; no direct AA ownership.,Innovation contact; not an RFP channel.,austin.j.mroczek2.civ@us.navy.mil,,A / High,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,,2026-05-07,Do not map this current role to historical Code 56270.
71,NIWC PAC deep-code map,Code 56 > Maritime Systems / Autonomous Technologies,Division,56400 lineage,Autonomous Technologies Division,Spencer Koroly,"Project Manager, Autonomous Technologies Division",Dated / revalidate,2024-10,Adjacent mission software,Autonomy software and tactical integration may use shared deployment/integration patterns; no direct AA ownership.,Adjacent technical contact.,,,B / Medium dated,https://www.dvidshub.net/video/941624/next-level-podcast-episode-3,https://sam.gov/opp/38353d270a4b681e6230bd48614648e2/view,2024-10 / dated code lineage,Status detail: Dated role; revalidate.
72,NIWC PAC deep-code map,Code 56 > 56400 > Littoral Engineering,Branch,56430,Littoral Engineering Branch,Cheryl Ann Cooke,ESTCP project point of contact; not verified as branch head,Dated / revalidate,2023-05,Low AA adjacency,Deep-code validation; no direct AA role.,Project POC only; do not infer branch leadership.,,,A for code; B for currentness,https://s3.us-gov-west-1.amazonaws.com/sepub-demo-0001-124733793621-us-gov-west-1/s3fs-public/2023-05%2FRC-201704%20Final%20Report.pdf,,2023-05,Status detail: Dated role.
73,NIWC PAC deep-code map,Code 56 > Reconnaissance & Interdiction Division,Division,56700,Reconnaissance & Interdiction Division,Mark Xitco,Division Head,Dated / revalidate,2023-09,None / remote adjacency,Deep-code validation; no material AA role identified.,Not an AA engagement target.,,,A / High dated,https://www.navymarinespeciesmonitoring.us/index.php/download_file/view/3083/,,2023-09,Status detail: Dated role; revalidate.
74,NIWC PAC deep-code map,Code 56 > 56700 > Environmental Readiness,Branch,56720,Environmental Readiness Branch,Public gap — branch head not identified,Branch Head,Public gap,2023-09,None,Deep-code validation only.,No AA relevance established.,,,A / High for code,https://www.navymarinespeciesmonitoring.us/index.php/download_file/view/3083/,,2023-09,Status detail: Dated structure / incumbent unresolved.
75,NIWC PAC deep-code map,NIWC Pacific > Cyber / Science & Technology,Department,70,Cyber/S&T Department,Carly Jackson,Cyber/S&T Department Head; dual-hatted NAVWAR CTO (self-reported current),Dated / revalidate,2026,Cyber/technical governance,"Cyber, software assurance, and S&T influence the security context for AA and OSA.",Technical leader; not an RFP channel.,,,B / Medium,https://www.linkedin.com/in/carly-jackson-8074804,https://www.linkedin.com/posts/navwar_niwcpacific-oceans2021-navwar-activity-6849489810462187520-a5NZ,Current profile / older official corroboration,Status detail: Current-likely; revalidate.
76,NIWC PAC deep-code map,NIWC Pacific > Cyber / Science & Technology,Deputy department leadership,70,Cyber/S&T Department,Mark Berry,"Deputy Department Head, Cyber Science and Technology Department",Dated / revalidate,2026-09,Cyber/technical governance,Cyber S&T and assurance adjacency; no direct AA ownership public.,Technical influencer; not an RFP channel.,,,B / Medium,https://www.linkedin.com/in/mark-berry-59603112,,Profile accessed 2026-09,Status detail: Current-likely; self-reported.
77,NIWC PAC deep-code map,Code 70 > Basic & Applied Research Division,Division,71700,Basic & Applied Research Division,John deGrassie,Historical Division Head,Historical,circa 2022,Low AA adjacency,Deep-code lineage; no direct AA role.,Historical only.,,,A / High historical,https://www.researchgate.net/publication/397844112_Biological_Brain_Microtubules_Interfaced_with_Semiconductor_Qubits,,circa 2022,
78,NIWC PAC deep-code map,Code 70 > 717 > Unmanned Systems S&T,Branch,71710,Unmanned Systems Science & Technology Branch,Public gap — branch head not identified,Branch Head,Historical,2017-12,Low AA adjacency,Possible software-delivery consumer; no direct AA ownership.,Do not present as current without refreshed evidence.,,,A / High historical,https://www.academia.edu/98691186/Implementation_and_Testing_of_the_JANUS_Standard_with_SSC_Pacifics_Software_Defined_Acoustic_Modem,,2017-12,Status detail: Historical structure / currentness unresolved.
79,NIWC PAC deep-code map,Code 70 > 717 > Advanced Concepts & Applied Research,Branch,71730,Advanced Concepts & Applied Research Branch,Public gap — branch head not identified,Branch Head,Historical,2017-12,Innovation / low adjacency,Potential upstream innovation feeder; no direct AA ownership.,Do not present as current without refreshed evidence.,,,A / High historical,https://www.academia.edu/98691186/Implementation_and_Testing_of_the_JANUS_Standard_with_SSC_Pacifics_Software_Defined_Acoustic_Modem,,2017-12,Status detail: Historical structure / currentness unresolved.
80,NIWC PAC deep-code map,Code 70 > 717 > Environmental Sciences & Applied Systems,Historical branch,71751,Environmental Sciences and Applied Systems,Gunther Rosen,Historical SSC Pacific technology representative,Historical,2012-05-16,None / remote adjacency,Deep-code and historical POC completeness; no material AA role.,Historical only; do not treat the dated email as a current engagement channel.,gunther.rosen@navy.mil,,A / High historical,https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=P100FBJ8.TXT,,2012-05-16,
81,NIWC PAC deep-code map,Cyber/S&T > Cryogenic Electronics & Quantum Research,Branch,Code unresolved,Cryogenic Electronics and Quantum Research Branch,Joanna Ptasinski,Branch Head,Dated / revalidate,2025-11-17,None / remote adjacency,Current named branch leader without a discoverable numeric code; included to preserve org-depth accuracy.,No AA relevance established.,,,A for role; gap for code,https://www.niwcpacific.navy.mil/Media/Press-Releases/Article/4333885/niwc-pacific-advances-work-on-quantum-enhanced-fiber-optic-gyroscopes/,,2025-11-17,Status detail: Current-recent.
82,NIWC PAC deep-code map,NIWC Pacific > Cyber/S&T > Joint Tactical Communications,Branch,70 lineage; numeric child not public,Joint Tactical Communications Branch,Mike Anderson,Branch Head,Dated / revalidate,2025-09-10,Tactical communications adjacency,Secure/open-source tactical 5G and network-defense work may affect future AA transport environments.,Technical branch lead; not an AA RFP contact.,,,A / High,https://www.dvidshub.net/news/547732/operation-shoehorn-securing-5g-for-tactical-advantage,,2025-09-10,Status detail: Current-recent.
83,NIWC PAC deep-code map,NIWC Pacific > ISR,Branch,Numeric child not public,ISR Department branch,Anson Brune,"Mechanical Engineer and Branch Head, ISR Department",Dated / revalidate,2025,Low AA adjacency,Named current branch-level Government node; no AA-specific role public.,Technical context only.,,,B / Medium-high,https://www.dvidshub.net/podcast/618/next-level-podcast,,2025 podcast listing,Status detail: Current-recent.
84,NIWC PAC deep-code map,NIWC Pacific > Corporate Operations,Department,80 / 80000,Corporate Operations Department,Public gap — current department head not identified,Corporate Operations Department Head,Public gap,2026-09-02,Administrative / indirect,Center business operations; no direct AA technical ownership.,Not an AA engagement target.,,,A / High for unit,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,,2026-05-07,Status detail: Current function / incumbent unresolved.
85,NIWC PAC deep-code map,Corporate Operations > Information Technology Management,Function,8.2,Information Technology Management,Public gap — functional lead not identified,IT Management lead,Forecast / dated,2023 metadata,Enterprise IT / indirect,Center IT services context; not AA program ownership.,Forecast structure only.,,,A for code; gap for person,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Dated forecast function / incumbent unresolved.
86,NIWC PAC deep-code map,NIWC Pacific > Indo-Pacific Department,Department,H,Indo-Pacific Department,Public gap — current department head not identified,Indo-Pacific Department Head,Public gap,2026-09-02,Fleet/geographic interface,"Forward engineering, installation, testing, and operations support in Hawaii, Japan, and Guam; material deployment geography for AA.",Not an RFP channel.,,,A / High for unit,https://www.niwcpacific.navy.mil/About/Departments/Indo-Pacific/,https://www.niwcpacific.navy.mil/About/Business-Portfolios/,Accessed 2026-09-02,Status detail: Current function / incumbent unresolved.
87,NIWC PAC deep-code map,Indo-Pacific Department > C2 and Networks Division,Division,Not public,C2 and Networks Division,Eric Inouye,Division Head,Dated / revalidate,2023-05,Fleet/geographic interface,Forward C2/network engineering and operations are relevant to OCONUS AA deployment environments.,No current AA authority inferred.,,,A / High dated,https://www.niwcpacific.navy.mil/Media/Press-Releases/Article-Display/Article/3403227/niwc-atlantic-and-niwc-pacific-collaborate-with-university-of-hawaii-to-create/,,2023-05,Status detail: Dated role; revalidate.
88,NIWC PAC deep-code map,Indo-Pacific Department > Guam Activity,Detachment / activity,H lineage,NIWC Pacific Guam,LCDR Ryan Maas,Officer in Charge as of July 2024,Dated / revalidate,2024-07-12,Fleet/geographic interface,Forward Guam engineering and operational support; potential OCONUS deployment stakeholder.,Not an RFP channel.,,,B / Medium-high dated,https://www.dvidshub.net/news/476354/niwc-pacific-conducts-change-charge-guam,,2024-07-12,"Status detail: Dated role; revalidate. No successor was found, but the 2024 role was not treated as current."
89,NIWC PAC deep-code map,NIWC Pacific > International Cooperation Office,Center office,72100 (dated),International Cooperation Office / Technology Partnership Office,Paul R. Shigley,"Director, ICO/TPO",Historical,2020,International / none,International cooperation and technology-partnership context; no direct AA role.,Historical contact; do not assume current assignment.,paul.shigley@navy.mil,,A / High historical,https://arcticdomainawarenesscenter.org/Downloads/ICE-PPR/NAVWAR%20ICO%20brief%202020.pdf,,2020,Status detail: Historical / dated.
90,NIWC PAC deep-code map,NIWC Pacific > International Cooperation Office,Center office,72100 (dated),International Cooperation Office,Shirley D. Pacheco,Deputy Director,Historical,2020,International / none,International cooperation context; no direct AA role.,Historical contact; do not assume current assignment.,shirley.pacheco@navy.mil,,A / High historical,https://arcticdomainawarenesscenter.org/Downloads/ICE-PPR/NAVWAR%20ICO%20brief%202020.pdf,,2020,Status detail: Historical / dated.
91,NIWC PAC deep-code map,NIWC Pacific > International Cooperation Office,Center office,72100 (dated),International Cooperation Office,Michael Morgan,FCT / STAIRS Program Manager,Historical,2020,International / none,International technology-program context; no direct AA role.,Historical contact; do not assume current assignment.,michael.morgan@navy.mil,,A / High historical,https://arcticdomainawarenesscenter.org/Downloads/ICE-PPR/NAVWAR%20ICO%20brief%202020.pdf,,2020,Status detail: Historical / dated.
92,NIWC PAC acquisition,NIWC Pacific > Contracts > N66001-26-R-3507,Solicitation team,,Application Arsenal RFP,Corbin C. Walters,Contract Specialist; primary AA RFP POC,Current,2026-08-31,Direct – procurement,Primary published procurement channel for the active Application Arsenal competition.,Authorized primary RFP contact; include SeaPort contract number and follow SAM/PIEE / final Section L.,corbin.c.walters.civ@us.navy.mil,619-553-4741,A / Very high,https://sam.gov/opp/b97c5c5becf542398697517bff5e0be2/view,https://www.highergov.com/contract-opportunity/market-survey-for-software-engineering-services-n66001-26-r-3507-r-b1b6b/,2026-08-31,Status detail: Current (RFP channel).
93,NIWC PAC acquisition,NIWC Pacific > Contracts > Code 532 forecast / current CSO,Contracting POC,532 forecast,Code 532 acquisition portfolio,Richard “Lee” Anderson,LRAE contracting POC; current NIWC PAC CSO AOI POC,Dated / revalidate,2026-08-31,ACS / adjacent procurement,Forecast POC for DCGS-N Increment 2 and ACS engineering; adjacent to AA but not its solicitation channel.,Use only for the specific live action/CSO; not AA RFP Q&A.,richard.l.anderson4.civ@us.navy.mil,858-978-7699,A for identity; B for forecast mapping,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,https://sam.gov/opp/9b41ad1bb80c4c0185f42811866b291b/view,2026-08-31 / metadata dated 2023,Status detail: Current identity; forecast role needs validation.
94,NIWC PAC acquisition,NIWC Pacific > Contracts > CANES Engineering,Contract specialist,,CANES Engineering Support,Stephen Enokida,Contract Specialist for CANES Engineering solicitation/award,Dated / revalidate,2025-05-23,CANES / adjacent procurement,CANES host-network contract lineage and engineering support; not AA solicitation authority.,Use only for the applicable CANES action.,stephen.enokida@navy.mil / stephen.i.enokida.civ@us.navy.mil,619-553-5764,A / High,https://sam.gov/opp/7fdb61d8b1d24ab8b4489068221433c8/view,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,2025-05-23,Status detail: Current-recent / adjacent action.
95,NIWC PAC acquisition,NIWC Pacific > Contracts > TACNET ISEA follow-on,Sources-sought POC,,N66001-27-R-0001,Aica M. Dizon,Primary TACNET ISEA sources-sought POC; Contract Specialist,Current,2026-05-27,TACNET / adjacent procurement,Current market-research channel for TACNET ISEA follow-on only.,Not an AA channel.,aica.m.dizon.civ@us.navy.mil,619-553-4474,A / High,https://sam.gov/opp/8a9e542eb98d4679a04b6c31416e288d/view,,2026-05-27,Status detail: Current / adjacent action.
96,NIWC PAC acquisition,NIWC Pacific > Contracts > TACNET and NEN adjacent actions,Secondary POC,,N66001-27-R-0001 / N66001-27-R-3601,Emily F. Green,Secondary POC on TACNET ISEA and NEN ISEA market research,Current,2026-05-27,Network / adjacent procurement,Secondary contact for named network actions only; no AA authority.,Not an AA channel.,emily.f.green.civ@us.navy.mil,619-553-4516 (other 2026 notices),A / High,https://sam.gov/opp/8a9e542eb98d4679a04b6c31416e288d/view,https://sam.gov/opp/2287fe684e02406fa563695eb849e7b3/view,2026-04/05,Status detail: Current / adjacent actions.
97,NIWC PAC acquisition,NIWC Pacific > Contracts > NEN ISEA,Sources-sought POC,,N66001-27-R-3601,Tessa L. Wastun,Primary NEN ISEA sources-sought POC; Contract Specialist,Current,2026-04-10,Enterprise network / adjacent procurement,Current NEN ISEA market-research channel only; no AA authority.,Not an AA channel.,tessa.l.wastun2.civ@us.navy.mil,,A / High,https://sam.gov/opp/2287fe684e02406fa563695eb849e7b3/view,,2026-04-10,Status detail: Current / adjacent action.
98,NIWC PAC dated forecast contacts,NIWC Pacific > FIELD / Code 40 acquisition forecasts,Forecast contracting POC,40 forecast,FIELD acquisition forecasts,Norman P. Julien,LRAE contracting POC,Forecast / dated,Workbook metadata dated 2023,Fleet deployment / adjacent procurement,Dated acquisition-planning contact for Code 40 work; not an AA solicitation channel.,Verify against a live action before use.,norman.p.julien@navy.mil,,C / Low-currentness,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Forecast contact / verify.
99,NIWC PAC dated forecast contacts,NIWC Pacific > ISR / Code 56 acquisition forecasts,Forecast contracting POC,56 forecast,ISR acquisition forecasts,Bryan F. Mansfield,LRAE contracting POC,Forecast / dated,Workbook metadata dated 2023,ISR / adjacent procurement,Dated acquisition-planning contact for Code 56 work; not an AA solicitation channel.,Verify against a live action before use.,bryan.f.mansfield.civ@us.navy.mil,,C / Low-currentness,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Forecast contact / verify.
100,NIWC PAC dated forecast contacts,NIWC Pacific > Code 70 / Corporate IT 8.2 acquisition forecasts,Forecast contracting POC,70 / 8.2 forecast,Cyber/S&T and IT-management forecasts,Jacob P. Ward,LRAE contracting POC,Forecast / dated,Workbook metadata dated 2023,Cyber/IT / adjacent procurement,Dated acquisition-planning contact for Code 70 and IT-management forecasts; not an AA solicitation channel.,Verify against a live action before use.,jacob.p.ward.civ@us.navy.mil,,C / Low-currentness,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Forecast contact / verify.
101,External program forecast,PMW 160 / CANES acquisition forecast,Forecast contracting POC,,CANES TVE / production MAC,Susana L. Wiker,LRAE contracting POC,Forecast / dated,Workbook metadata dated 2023,CANES / adjacent procurement,Historical planning contact for PMW 160 CANES test/verification and production forecasts.,Outside the NIWC PAC reporting hierarchy; not a live AA channel.,Susana.L.Wiker.civ@us.navy.mil,,C / Low-currentness,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Forecast contact / verify.
102,NIWC Atlantic dated forecast,NIWC Atlantic > CANES / TACNET forecast,Forecast contracting POC,,NIWC Atlantic CANES/TACNET,Sheela Casper,LRAE contracting POC,Forecast / dated,Workbook metadata dated 2023,CANES / adjacent procurement,Atlantic technical-production and software-lifecycle planning contact; outside NIWC PAC and not an AA channel.,Outside the NIWC PAC reporting hierarchy; not a live AA channel.,sheela.casper2.civ@us.navy.mil,,C / Low-currentness,https://www.navwar.navy.mil/Portals/93/Images/Documents/NAVWAR_LRAE_Report.xlsx?ver=3bKfCbGtYWA36Jvgb1i6Qw%3D%3D,,Workbook metadata dated 2023,Status detail: Forecast contact / historical.
103,NIWC PAC acquisition,NIWC Pacific > Contracts > TACNET ISEA parent award,Historical contract specialist,,N66001-22-R-0030 / N66001-23-D-0004,David M. Roden,Contract Specialist,Historical,2022-12-12,TACNET / adjacent procurement,Parent TACNET ISEA contract lineage; superseded for follow-on collection by current sources-sought contacts.,Historical action only; not an AA channel.,david.m.roden2.civ@us.navy.mil,619-553-2087,A / High historical,https://sam.gov/opp/e8176359f96a40a5b6ed0301a026cdf4/view,,2022-12-12,Status detail: Historical / superseded for follow-on.
104,External requirements chain,OPNAV > Warfighting Requirements and Capabilities,OPNAV,N6N9,"DCNO, Warfighting Requirements and Capabilities",VADM Michael S. Wosje,"Deputy Chief of Naval Operations, N6N9",Current,2026-08-31,Requirements umbrella,Single-accountable-officer level above the Information Warfare resource-sponsor chain; not AA contracting authority.,Requirements/accountability context; not an RFP contact.,,,A / High,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2026/NAV26204.pdf?ver=Z0SgLUjWKMJuHZr8CPoubQ%3D%3D,,2026-08-31,
105,External requirements chain,OPNAV > N6N9,OPNAV,N6N9C,IW Requirements and Capabilities / DON Deputy CIO (Navy),Jennifer Edgin,Assistant DCNO for IW Requirements and Capabilities; DON Deputy CIO (Navy),Current,2026-05,Requirements / policy,"Policy influence over tactical-network, cyber, IT, space, and DevSecOps governance; not PMW 160 execution.",Not an RFP contact.,,,A / High,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2026/NAV26123.pdf?ver=t6jdXYHcASmJJFJn31N1-g%3D%3D,,2026-05,
106,External requirements chain,OPNAV > Information Warfare,OPNAV directorate,N99,Information Warfare,RADM Susan BryerJoyner,"Director, Information Warfare",Current,2026-07-31,Resource sponsor,"Senior resource-sponsor authority for the Information Warfare portfolio, including networks.",Sponsor authority; not an RFP contact.,,,A / High,https://www.navy.mil/Leadership/Flag-Officer-Biographies/BioDisplay/Article/2322704/rear-admiral-susan-bryerjoyner/,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2026/NAV26123.pdf?ver=t6jdXYHcASmJJFJn31N1-g%3D%3D,2026-07-31,
107,External requirements chain,OPNAV > N99,OPNAV directorate,N99C,C3 / tactical and enterprise networks / NC3,Eric Dobson,"Deputy Director, N99C (self-reported)",Dated / revalidate,Since 2025-11,Working-level resource sponsor,Likely closest publicly named current OPNAV network sponsor to tactical and enterprise networks.,Sponsor context; not an RFP contact.,,,C / Medium-low,https://www.linkedin.com/in/ericdobson101,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2026/NAV26123.pdf?ver=t6jdXYHcASmJJFJn31N1-g%3D%3D,Current profile / 2026-05 branch scope,Status detail: Current-likely; self-reported.
108,External acquisition chain,Department of the Navy > PAE Mission Systems,Portfolio acquisition,,PAE Mission Systems,Jim Day,"Portfolio Acquisition Executive, Mission Systems",Current,2026-05-11,Acquisition accountability,Portfolio-level acquisition and integration authority over the legacy PEO C4I mission-system chain containing Tactical Networks.,Portfolio authority; not an AA solicitation contact.,,,A / High,https://www.navy.mil/Press-Office/Press-Releases/display-pressreleases/Article/4483312/navy-advances-acquisition-reform-strategy-appoints-three-new-portfolio-acquisit/,https://www.navy.mil/Press-Office/News-Stories/display-news/Article/4483389/department-of-the-navy-launches-pae-mission-systems-to-accelerate-warfighting-c/,2026-05-11,
109,External acquisition chain,PAE Mission Systems > Capability Portfolio,Capability portfolio,,Communications / sensors / timing portfolio,Dr. William “Bill” Luebke,Capability Portfolio Executive; former PEO C4I,Current,2026,Portfolio acquisition / indirect,Former direct PEO above PMW 160; current AA relationship is indirect because public PAE material does not map PMW 160 to a named portfolio.,Not an RFP contact.,,,A / High,https://www.navsea.navy.mil/Home/Warfare-Centers/NSWC-Crane/Partnerships/Contracts/APBI/,https://www.dvidshub.net/image/8619319/pmw-160-change-command,2026 / historical role through 2026-05,
110,External acquisition chain,PAE Mission Systems > Mission Execution Office,Portfolio execution,,Mission Execution Office,Jeff Myers,"Director, Mission Execution Office; former PMW 160 Deputy PM",Dated / revalidate,2026,Portfolio execution,Potential portfolio performance and transition influence; no public evidence of direct AA ownership.,Not an RFP contact.,,,B / Medium,https://www.linkedin.com/in/jeffmyers2,https://www.ticketsource.com/pmw-160/pmw-160-industry-day/e-beyzjd,Current profile / role verified through 2025-06,Status detail: Current-likely; self-reported.
